nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Konjac glucomannan,E425II,SAFE,0.1253,0.45,514,96,0.187,28.0,Low negative evidence,APROVED
Alkaline sodium aluminium phosphate,E541II,UNKNOWN,0.0034,0.01,2,1,0.5,0.0,Insufficient research (2 papers),APROVED
Citric acid,E330,SAFE,0.5037,1.0,19561,9335,0.477,36.0,High negative evidence,APPROVED
Nisin,E234,WATCHLIST,0.2745,0.95,2255,873,0.387,33.0,Moderate concerns (SSI: 27.4%),APPROVED
Hydroxypropyl methyl cellulose,E464,SAFE,0.039,0.24,142,25,0.179,38.0,Low negative evidence,APPROVED
pectin amide,E440B,UNKNOWN,0.0,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED
sodium erythorbate,E316,SAFE,0.0802,0.23,131,49,0.379,38.0,Low negative evidence,APPROVED
hemimorphite,E557,SAFE,0.0406,0.15,57,16,0.283,75.0,Low negative evidence,APROVED
Ethoxylated Mono- and Di-Glycerides,E488,SAFE,0.0561,0.14,48,21,0.452,76.0,Low negative evidence,APROVED
Alpha-Cyclodextrine,E457,SAFE,0.0604,0.15,53,21,0.411,50.0,Low negative evidence,APROVED
Tripotassium phosphate,E340III,UNKNOWN,-0.0001,0.02,8,0,0.075,0.0,Insufficient research (8 papers),APROVED
Indanthrene blue RS,E130,SAFE,0.0685,0.24,143,50,0.354,63.0,Low negative evidence,APROVED
Sorbitol syrup,E420II,UNKNOWN,0.0,0.01,1,0,0.0,20.0,Insufficient research (1 papers),APROVED
calcium propionate,E282,SAFE,0.0949,0.29,205,79,0.388,34.0,Low negative evidence,APPROVED
Dichlorodifluoromethane,E940,SAFE,0.0789,0.21,111,37,0.336,42.0,Low negative evidence,APROVED
Tartaric acid esters of mono- and diglycerides of fatty acids,E472D,UNKNOWN,0.0069,0.02,2,2,1.0,100.0,Insufficient research (2 papers),APROVED
Ammonium polyphosphate,E452V,SAFE,0.0524,0.36,319,23,0.072,40.0,Low negative evidence,APROVED
Mono- and diglycerides of fatty acids,E471,SAFE,0.0649,0.15,59,23,0.407,46.0,Low negative evidence,APPROVED
Hexamethylene tetramine,E239,SAFE,0.0609,0.25,151,43,0.291,68.0,Low negative evidence,APPROVED
E571,E571,SAFE,0.0286,0.11,28,9,0.321,80.0,Low negative evidence,APROVED
Enzymatically hydrolysed carboxymethylcellulose,E469,SAFE,0.0566,0.17,72,27,0.386,65.0,Low negative evidence,APPROVED
Cholic acid,E1000,SAFE,0.6391,0.9,2039,1178,0.578,27.0,High negative evidence,APPROVED
Aluminium,E173,RESTRICTED,0.2549,1.0,10055,2619,0.261,49.0,Moderate concerns (SSI: 25.5%),RESTRICTED
Sodium tetraborate (borax),E285,SAFE,0.0654,0.2,98,33,0.346,70.0,Low negative evidence,APROVED
Riboflavin,E101I,DANGEROUS,0.6887,1.0,8497,4670,0.55,46.0,High negative evidence,APROVED
Polyvinyl alcohol-polyethylene glycol-graft-co-polymer,E1209,SAFE,0.0063,0.08,15,1,0.108,67.0,Low negative evidence,APPROVED
Ammonium carbonate,E503I,SAFE,0.0595,0.31,244,47,0.193,30.0,Low negative evidence,APROVED
Potassium hydrogen carbonate,E501II,SAFE,0.0135,0.08,16,4,0.281,80.0,Low negative evidence,APROVED
Brilliant blue FCF,E133,SAFE,0.0777,0.33,277,74,0.268,66.0,Low negative evidence,APPROVED
Potassium acetate,E261,SAFE,0.1211,0.45,517,144,0.28,24.0,Low negative evidence,APPROVED
Polyoxyethylene (40) stearate,E431,SAFE,0.0458,0.15,53,15,0.292,65.0,Low negative evidence,APPROVED
Synthetic wax,E905,SAFE,0.0319,0.12,34,9,0.288,43.0,Low negative evidence,APROVED
Astaxanthin,E161J,DANGEROUS,0.3767,0.93,2148,965,0.45,27.0,High negative evidence,APROVED
Calcium citrates,E333,SAFE,0.526,0.94,2228,1102,0.495,37.0,High negative evidence,APPROVED
Acetylated starch,E1420,SAFE,0.0797,0.19,93,35,0.379,58.0,Low negative evidence,APPROVED
Potassium salts of fatty acids,E470AII,SAFE,0.0162,0.03,10,4,0.48,17.0,Low negative evidence,APROVED
Bentonite,E558,WATCHLIST,0.2154,1.0,4338,911,0.21,39.0,Moderate concerns (SSI: 21.5%),APROVED
sodium dodecyl sulfate,E487,DANGEROUS,0.6161,1.0,31191,14975,0.48,31.0,High negative evidence,APROVED
Candelilla wax,E902,SAFE,0.0339,0.19,88,9,0.103,47.0,Low negative evidence,APPROVED
