id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e495,E495,sorbitan monopalmitate,4122814.0,"DTXSID80860361|3,6-Anhydro-1-O-hexadecanoylhexitol|RefChem:272233|DTXCID30209468|NOCAS_860361",35,sorbitan monopalmitate,0
en:e930,E930,calcium peroxide,,,36,calcium peroxide,2
en:e227,E227,calcium bisulphite,,,37,calcium bisulphite,0
en:e526,E526,calcium hydroxide,,,38,calcium hydroxide,2
en:e426,E426,soybean hemicellulose,,,39,soybean hemicellulose,2
en:e580,E580,magnesium gluconate,,,40,magnesium gluconate,0
en:e338,E338,phosphoric acid,1004.0,Phosphoric acid|7664-38-2|ORTHOPHOSPHORIC ACID|o-Phosphoric acid|Wc-reiniger,41,phosphoric acid,0
en:e162,E162,beetroot red,90657360.0,E162|betanidin 5-O-beta-glucoside|CTMLKIKAUFEMLE-FTNGGYTGSA-L,42,beetroot red,3
en:e106,E106,flavin mononucleotide,23666409.0,130-40-5|riboflavin sodium phosphate|RIBOFLAVIN PHOSPHATE SODIUM|Riboflavin-5-phosphate sodium|Photrexa,43,flavin mononucleotide,3
en:e948,E948,oxygen,977.0,oxygen|Molecular oxygen|oxygen molecule|Dioxygen|7782-44-7,44,oxygen,1
en:e999,E999,quillaia extract,,,45,quillaia extract,2
en:e336ii,E336II,dipotassium tartrate,,,46,dipotassium tartrate,0
en:e160a,E160A,carotene,5280489.0,"beta-carotene|7235-40-7|beta Carotene|beta,beta-Carotene|Betacarotene",47,carotene,3
en:e306,E306,tocopherol-rich extract,,,48,tocopherol-rich extract,0
en:e165,E165,gardenia blue,,,49,gardenia blue,3
en:e351,E351,potassium malate,,,50,potassium malate,0
en:e365,E365,sodium fumarate,6076814.0,"Sodium fumarate|7704-73-6|mafusol|Fumaric acid, sodium salt|F11949924I",51,sodium fumarate,0
en:e151,E151,brilliant black bn,17294.0,13699-36-0|Black BN|Blue Black BN|Brilliant Black A|Food black 1,52,brilliant black bn,3
en:e161d,E161D,rubixanthin,5281252.0,"Rubixanthin|Natural yellow 27|(3R)-beta,psi-caroten-3-ol|UNII-0PWJ89032Q|CI 75135",53,rubixanthin,3
en:e640ii,E640II,sodiumglycinate,,,54,sodiumglycinate,2
en:e553,E553,magnesium silicates,,,55,magnesium silicates,2
en:e1100,E1100,alpha-amylase,77645.0,Ethyl 5-methyl-1H-pyrazole-3-carboxylate|EINECS 223-702-0|DTXSID50193259|NSC 44006|NSC 62433,56,alpha-amylase,0
en:e907,E907,hydrogenated poly-1-decene,,,57,hydrogenated poly-1-decene,2
en:e482,E482,calcium stearoyl-2-lactylate,,,58,calcium stearoyl-2-lactylate,2
en:e150d,E150D,sulphite ammonia caramel,,,59,sulphite ammonia caramel,1
en:e160,E160,carotenoids,,,60,carotenoids,3
en:e504ii,E504II,magnesium hydroxide carbonate,,,61,magnesium hydroxide carbonate,2
en:e633,E633,calcium inosinate,,,62,calcium inosinate,2
en:e264,E264,ammonium acetate,517165.0,"AMMONIUM ACETATE|631-61-8|Acetic acid, ammonium salt|acetic acid ammonium salt|RRE756S6Q2",63,ammonium acetate,3
en:e434,E434,polyoxyethylene sorbitan monopalmitate,,,64,polyoxyethylene sorbitan monopalmitate,2
en:e913,E913,lanolin,491774.0,"E913|342394-93-8|E 913|1,4,9-Triazaspiro(5.5)undecane-2,5-dione, 1-butyl-3-(cyclohexylmethyl)-9-((2,3-dihydro-1,4-benzodioxin-6-yl)methyl)-|1-butyl-3-(cyclohexylmethyl)-9-(2,3-dihydro-1,4-benzodioxin-6-ylmethyl)-1,4,9-triazaspiro[5.5]undecane-2,5-dione",65,lanolin,2
en:e1208,E1208,polyvinylpyrrolidone-vinyl acetate copolymer,6618886.0,1-(Ethoxycarbonyl)-4-piperidinecarboxylic acid|RefChem:427773|834-910-1|1-(ethoxycarbonyl)piperidine-4-carboxylic acid|118133-15-6,66,polyvinylpyrrolidone-vinyl acetate copolymer,2
xx:e364,E364,desconocido,,,67,desconocido,0
xx:e364,E364,desconocido,,,117,desconocido,0
xx:e364,E364,desconocido,,,245,desconocido,0
xx:e364,E364,desconocido,,,396,desconocido,0
xx:e364,E364,desconocido,,,569,desconocido,0
xx:e389,E389,desconocido,,,67,desconocido,0
xx:e389,E389,desconocido,,,117,desconocido,0
xx:e389,E389,desconocido,,,245,desconocido,0
xx:e389,E389,desconocido,,,396,desconocido,0
xx:e389,E389,desconocido,,,569,desconocido,0
xx:e390,E390,desconocido,,,67,desconocido,0
xx:e390,E390,desconocido,,,117,desconocido,0
xx:e390,E390,desconocido,,,245,desconocido,0
xx:e390,E390,desconocido,,,396,desconocido,0
xx:e390,E390,desconocido,,,569,desconocido,0
xx:e386,E386,desconocido,8759.0,139-33-3|EDTA disodium salt|Disodium EDTA|Edta disodium|Titriplex III,67,desconocido,0
xx:e386,E386,desconocido,8759.0,139-33-3|EDTA disodium salt|Disodium EDTA|Edta disodium|Titriplex III,117,desconocido,0
xx:e386,E386,desconocido,8759.0,139-33-3|EDTA disodium salt|Disodium EDTA|Edta disodium|Titriplex III,245,desconocido,0
xx:e386,E386,desconocido,8759.0,139-33-3|EDTA disodium salt|Disodium EDTA|Edta disodium|Titriplex III,396,desconocido,0
xx:e386,E386,desconocido,8759.0,139-33-3|EDTA disodium salt|Disodium EDTA|Edta disodium|Titriplex III,569,desconocido,0
xx:e387,E387,desconocido,,,67,desconocido,0
xx:e387,E387,desconocido,,,117,desconocido,0
xx:e387,E387,desconocido,,,245,desconocido,0
xx:e387,E387,desconocido,,,396,desconocido,0
xx:e387,E387,desconocido,,,569,desconocido,0
en:e553a,E553A,synthetic magnesium silicates,,,68,synthetic magnesium silicates,2
en:e585,E585,ferrous lactate,,,69,ferrous lactate,2
en:e485,E485,sodium stearoyl fumarate,,,70,sodium stearoyl fumarate,0
en:e539,E539,sodium thiosulfate,61475.0,"SODIUM THIOSULFATE PENTAHYDRATE|10102-17-7|Disodium thiosulfate pentahydrate|Sodium thiosulfate, pentahydrate|Thiosulfuric acid (H2S2O3), disodium salt, pentahydrate",71,sodium thiosulfate,2
en:e440a,E440A,pectin,,,72,pectin,0
en:e1403,E1403,bleached starch,12550531.0,73232-07-2|DTXSID10502227|Ethyl 2-((ethoxycarbonothioyl)sulfanyl)propanoate|Ethyl 2-[(ethoxycarbonothioyl)sulfanyl]propanoate|RefChem:1084746,73,bleached starch,2
