id,codigo_e,nombre
en:e504,E504,E504 - Magnesium carbonates
en:e1001,E1001,E1001 - Choline salt
en:e404,E404,E404 - Calcium alginate
en:e450iii,E450III,E450iii - Tetrasodium diphosphate
en:e312,E312,E312 - Dodecyl gallate
en:e1405,E1405,E1405 - Enzyme treated starch
en:e124,E124,E124 - Ponceau 4r
en:e621,E621,E621 - Monosodium glutamate
en:e150b,E150B,E150b - Caustic sulphite caramel
en:e352i,E352I,E352i - Calcium malate
en:e324,E324,E324 - Ethoxyquin
en:e220,E220,E220 - Sulphur dioxide
en:e509,E509,E509 - Calcium chloride
en:e315,E315,E315 - Erythorbic acid
en:e642,E642,E642
en:e1404,E1404,E1404 - Oxidised starch
xx:e386,E386,Desconocido
en:e409,E409,E409 - Arabinogalactan
en:e129,E129,E129 - Allura red
en:e161i,E161I,E161i - Citranaxanthin
en:e329,E329,E329 - Magnesium lactate
en:e1521,E1521,E1521 - Polyethylene glycol
en:e420i,E420I,E420i - D-sorbitol
en:e452vi,E452VI,E452vi - Sodium tripolyphosphate
en:e922,E922,E922 - Potassium persulfate
en:e472a,E472A,E472a - Acetic acid esters of mono- and diglycerides of fatty acids
en:e246,E246,E246 - Glycolipids
en:e905g,E905G,E905g - Mineral oil medium and low viscosity class III
en:e914,E914,E914 - Oxidised polyethylene wax
en:e470,E470,E470 - Sodium/potassium/calcium and magnesium salts of fatty acids
en:e570,E570,E570 - Fatty acids
en:e433,E433,E433 - Polyoxyethylene sorbitan monooleate
en:e925,E925,E925 - Chlorine
en:e263,E263,E263 - Calcium acetate
en:e941,E941,E941 - Nitrogen
en:e101ii,E101II,E101ii - Riboflavin-5′-phosphate
en:e131,E131,E131 - Patent blue v
en:e634,E634,E634 - Calcium 5'-ribonucleotide
en:e503ii,E503II,E503ii - Ammonium hydrogen carbonate
en:e341iii,E341III,E341iii - Tricalcium phosphate
en:e331,E331,E331 - Sodium citrates
en:e919,E919,E919 - Nitrosyl chloride
en:e440ii,E440II,E440ii - Amidated pectin
en:e554,E554,E554 - Sodium aluminium silicate
en:e500iii,E500III,E500iii - Sodium sesquicarbonate
en:e470a,E470A,E470a - Sodium/potassium and calcium salts of fatty acids
en:e450vi,E450VI,E450vi - Dicalcium diphosphate
en:e237,E237,E237 - Sodium formiate
en:e920,E920,E920 - l-cysteine
en:e467,E467,E467 - Ethulose
en:e514i,E514I,E514i - Sodium sulphate
en:e572,E572,E572 - Magnesium stearate
en:e472,E472,E472 - acid esters of mono- and diglycerides of fatty acids
en:e559,E559,E559 - Aluminium silicate
en:e459,E459,E459 - Beta-cyclodextrine
en:e281,E281,E281 - Sodium propionate
en:e541i,E541I,E541i - Acid sodium aluminium phosphate
en:e425i,E425I,E425i - Konjac gum
en:e575,E575,E575 - Glucono-delta-lactone
en:e626,E626,E626 - Guanylic acid
en:e343i,E343I,E343i - Monomagnesium phosphate
en:e475,E475,E475 - Polyglycerol esters of fatty acids
en:e479b,E479B,E479b - Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids
en:e451ii,E451II,E451ii - Pentapotassium triphosphate
en:e1411,E1411,E1411 - Distarch glycerol
en:e163b,E163B,E163b - Delphinidin
en:e450iv,E450IV,E450iv - dipotassium dihydrogenpyrophosphate
en:e955,E955,E955 - Sucralose
en:e243,E243,E243 - Ethyl lauroyl arginate
en:e961,E961,E961 - Neotame
en:e161f,E161F,E161f - Rhodoxanthin
en:e450viii,E450VIII,E450viii
en:e508,E508,E508 - Potassium chloride
en:e1519,E1519,E1519 - Benzyl alcohol
en:e408,E408,E408 - Bakers yeast glycan
en:e952,E952,E952 - Cyclamic acid and its Na and Ca salts
en:e450i,E450I,E450i - Disodium diphosphate
en:e128,E128,E128 - Red 2G
en:e536,E536,E536 - Potassium ferrocyanide
en:e202,E202,E202 - Potassium sorbate
en:e436,E436,E436 - Polyoxyethylene sorbitan tristearate
en:e266,E266,E266 - Sodium dehydroacetate
en:e713,E713,E713 - Tylosin
